titres,adresses,liens,categorie,type,lon,lat
Lycée Martinière - Terreaux,"18 Place Gabriel Rambaud, 69001 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-martiniere-terreaux,lycees-publics,enseignement,4.83,45.768
Lycée La Trinité,"31 rue de Sèze, 69006 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-la-trinite,lycees-prives-sous-contrat,enseignement,4.8466,45.7682
Lycée La Xavière,"252 route de Vienne, 69008 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-la-xaviere,lycees-prives-sous-contrat,enseignement,4.8525,45.7275
Lycée Lacassagne,"93 rue Antoine Charrial, 69003 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-lacassagne,lycees-publics,enseignement,4.8703,45.7579
Lycée Auguste et Louis Lumière,"50 Bd des Etats-Unis, 69008 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-auguste-et-louis-lumiere,lycees-publics,enseignement,4.8618,45.7361
Lycée Notre Dame des Minimes,"65 rue des Aqueducs, 69005 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-notre-dame-des-minimes,lycees-prives-sous-contrat,enseignement,4.7891,45.7589
Lycée Pierre Termier,"20-23 rue des Alouettes, 69008 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-pierre-termier,lycees-prives-sous-contrat,enseignement,4.8731,45.7417
Lycée professionnel Hector Guimard,"23 rue Claude Veyron, 69007 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-professionnel-hector-guimard,lycees-publics,enseignement,4.8579,45.7457
Lycée professionnel La Mache,"75 Boulevard Jean XXIII, 69008 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-professionnel-la-mache,lycees-prives-sous-contrat,enseignement,4.8706,45.7371
Lycée professionnel Jehanne de France,"6 rue de la Fraternelle, 69009 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-professionnel-jehanne-de-france,lycees-prives-sous-contrat,enseignement,4.8035,45.7693
Lycée Saint Charles de Serin,"22 rue Laporte, 69004 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-saint-charles-de-serin,lycees-prives-sous-contrat,enseignement,4.8126,45.7763
Lycée des Maristes - Sainte Marie,"4 Montée St-Barthélémy, 69005 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-des-maristes-sainte-marie,lycees-prives-sous-contrat,enseignement,4.8264,45.7655
Lycée Saint-Marc,"10 rue Sainte Hélène, 69002 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-saint-marc,lycees-prives-sous-contrat,enseignement,4.8287,45.7551
Lycée Saint Just,"21 rue des Farges, 69005 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-saint-just,lycees-publics,enseignement,4.8215,45.7562
Lycée Saint-Bruno/Saint-Louis,"16 rue des Chartreux, 69001 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-saint-brunosaint-louis,lycees-prives-sous-contrat,enseignement,4.823,45.7719
Lycée Saint Exupéry,"82 rue Hénon, 69004 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-saint-exupery,lycees-publics,enseignement,4.822,45.7804
Lycée technologique ORT,"133 rue Marius Berliet, 69008 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-technologique-ort,lycees-prives-sous-contrat,enseignement,4.8676,45.7381
Ecole maternelle Marcel Pagnol,"46 rue Lieutenant Colonel Girard, 69007 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-marcel-pagnol,ecoles-maternelles-publiques,enseignement,4.8246,45.7354
Ecole élémentaire Marcel Pagnol,"46 rue Lieutenant-Colonel Girard, 69007 Lyon",https://www.lyon.fr/lieu/ecoles-elementaires-publiques/ecole-elementaire-marcel-pagnol,ecoles-elementaires-publiques,enseignement,4.8247,45.7355
Ecole maternelle Marie Bordas,"14 bis rue de Champagneux, 69008 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-marie-bordas,ecoles-maternelles-publiques,enseignement,4.8508,45.7312
Ecole maternelle Mathilde Siraud,"5 place Abbé Larue, 69005 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-mathilde-siraud,ecoles-maternelles-publiques,enseignement,4.8201,45.7555
Ecole maternelle Maurice Carême,"3 rue du Béal, 69009 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-maurice-careme,ecoles-maternelles-publiques,enseignement,4.7948,45.7724
Ecole maternelle Michel Servet,"6 rue Alsace Lorraine, 69001 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-michel-servet,ecoles-maternelles-publiques,enseignement,4.8367000000000004,45.772
Ecole élémentaire Michel Servet,"2 rue Alsace Lorraine, 69001 Lyon",https://www.lyon.fr/lieu/ecoles-elementaires-publiques/ecole-elementaire-michel-servet,ecoles-elementaires-publiques,enseignement,4.8369,45.7723
Ecole maternelle Michelet,"Place Charles Marie Widor, 69002 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-michelet,ecoles-maternelles-publiques,enseignement,4.832,45.7549
